"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login fails with invalid credentials","0","testInvalidLogin","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.selenium.LoginTest","Login Tests","com.sdet.selenium.LoginTest","testInvalidLogin"
"Verify locked out user cannot login","0","testLockedOutUser","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.selenium.LoginTest","Login Tests","com.sdet.selenium.LoginTest","testLockedOutUser"
"","0","Verify paginated GET /users across multiple pages","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getUsersByPage"
"","0","Verify extracted auth token works in subsequent requests","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","useTokenInSubsequentRequest"
"Verify successful login with valid credentials","0","testValidLogin","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.selenium.LoginTest","Login Tests","com.sdet.selenium.LoginTest","testValidLogin"
"","0","Validate POST /login response matches JSON schema","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.SchemaValidationTest","API Tests","com.sdet.api.tests.SchemaValidationTest","validateLoginSchema"
"","0","Verify response headers contain correct content-type","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","validateResponseHeaders"
"","1","Demonstrate difference between PUT and PATCH behavior","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.CRUDOperationsTest","API Tests","com.sdet.api.tests.CRUDOperationsTest","demonstratePutVsPatchDifference"
"","0","Verify POST /register creates new user and returns token","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","registerNewUser"
"","0","Verify GET /users/{id} returns correct user data","SDET Automation Suite","Mon Apr 27 11:10:10 UTC 2026","skipped","Mon Apr 27 11:10:10 UTC 2026","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getSingleUser"
