"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify GET /users/{id} returns correct user data","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getSingleUser"
"","1","Verify response headers contain correct content-type","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","validateResponseHeaders"
"","0","Verify GET /users/{id} returns correct user data","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getSingleUser"
"Verify locked out user cannot login","0","testLockedOutUser","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.selenium.LoginTest","Login Tests","com.sdet.selenium.LoginTest","testLockedOutUser"
"","1","Verify POST /register returns error for missing password","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","registerWithMissingPassword"
"","0","Verify GET /users returns paginated list with correct structure","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getUsersList"
"Verify login fails with empty credentials","0","testEmptyCredentials","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.selenium.LoginTest","Login Tests","com.sdet.selenium.LoginTest","testEmptyCredentials"
"","0","Verify paginated GET /users across multiple pages","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getUsersByPage"
"","0","Verify GET /users/{id} returns correct user data","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getSingleUser"
"","3","Verify POST /login rejects invalid credentials","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","loginWithInvalidCredentials"
"","1","Verify POST /users creates users with various data sets","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.CRUDOperationsTest","API Tests","com.sdet.api.tests.CRUDOperationsTest","createUserDataDriven"
"","0","Verify GET /users/{id} returns 404 for non-existent user","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getUserNotFound"
"","0","Verify POST /login rejects invalid credentials","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","loginWithInvalidCredentials"
"Verify login fails with invalid credentials","0","testInvalidLogin","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.selenium.LoginTest","Login Tests","com.sdet.selenium.LoginTest","testInvalidLogin"
"Validates product listing is consistent across both environments","0","testParallelProductPageComparison","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.parallel.ParallelLoginTest","Parallel Environment Tests","com.sdet.parallel.ParallelLoginTest","testParallelProductPageComparison"
"","1","Demonstrate difference between PUT and PATCH behavior","SDET Automation Suite","2026-06-15","skipped","2026-06-15","com.sdet.api.tests.CRUDOperationsTest","API Tests","com.sdet.api.tests.CRUDOperationsTest","demonstratePutVsPatchDifference"
