"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify paginated GET /users across multiple pages","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getUsersByPage"
"","0","Verify POST /login returns descriptive error for missing email","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","loginWithMissingEmail"
"","1","Validate GET /users/{id} response matches JSON schema","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.SchemaValidationTest","API Tests","com.sdet.api.tests.SchemaValidationTest","validateSingleUserSchema"
"","0","Verify GET /users/{id} returns correct user data","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getSingleUser"
"","0","Verify POST /users creates users with various data sets","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.CRUDOperationsTest","API Tests","com.sdet.api.tests.CRUDOperationsTest","createUserDataDriven"
"","0","Verify PUT /users/{id} fully replaces user record","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.CRUDOperationsTest","API Tests","com.sdet.api.tests.CRUDOperationsTest","updateUserWithPut"
"Validates login behavior is consistent across Legacy and Cloud environments","1","testParallelLoginComparison","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.parallel.ParallelLoginTest","Parallel Environment Tests","com.sdet.parallel.ParallelLoginTest","testParallelLoginComparison"
"","0","Verify GET /users/{id} returns 404 for non-existent user","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.GetUsersTest","API Tests","com.sdet.api.tests.GetUsersTest","getUserNotFound"
"","0","Verify POST /login returns descriptive error for missing password","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.AuthApiTest","API Tests","com.sdet.api.tests.AuthApiTest","loginWithMissingPassword"
"","0","Validate GET /users response matches JSON schema contract","SDET Automation Suite","Thu Apr 09 10:18:05 UTC 2026","skipped","Thu Apr 09 10:18:05 UTC 2026","com.sdet.api.tests.SchemaValidationTest","API Tests","com.sdet.api.tests.SchemaValidationTest","validateUserListSchema"
